项目,附注,2020年12月31日,2019年12月31日
流动资产：,,,
货币资金,七、1,"241,700,996.57","698,822,699.65"
结算备付金,,,
拆出资金,,,
交易性金融资产,七、2,"779,007,720.05","1,134,800,000.00"
衍生金融资产,,,
应收票据,七、4,"820,287.88","632,545.00"
应收账款,七、5,"32,569,547.93","25,653,890.31"
应收款项融资,,,
预付款项,七、7,"5,114,652.24","4,914,362.33"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
其他应收款,七、8,"33,358,174.67","22,985,464.02"
其中：应收利息,,,
应收股利,,,
买入返售金融资产,,,
存货,六、9,"1,681,910,969.77","1,567,918,179.82"
合同资产,,,
持有待售资产,,,
一年内到期的非流动资产,,,
其他流动资产,七、13,"1,324,159,902.90","68,877,870.78"
流动资产合计,,"4,098,642,252.01","3,524,605,011.91"
非流动资产：,,,
发放贷款和垫款,,,
债权投资,,,
其他债权投资,,,
长期应收款,,,
长期股权投资,七、17,"5,065,304.88","5,102,559.31"
其他权益工具投资,七、18,"38,828,785.42","53,903,005.65"
其他非流动金融资产,,,
投资性房地产,七、20,"545,109,691.12","304,420,629.49"
固定资产,七、21,"1,458,030,642.50","1,424,207,470.64"
在建工程,七、22,"227,215,629.33","366,030,438.06"
生产性生物资产,,,
油气资产,,,
使用权资产,,,
无形资产,七、26,"197,604,336.16","211,469,631.70"
开发支出,,,
商誉,七、28,"1,500,000.00","1,500,000.00"
长期待摊费用,七、29,"9,569,465.87","12,920,724.22"
递延所得税资产,七、30,"38,172,569.24","37,265,795.71"
其他非流动资产,七、31,"39,184,883.74","12,301,670.55"
非流动资产合计,,"2,560,281,308.26","2,429,121,925.33"
资产总计,,"6,658,923,560.27","5,953,726,937.24"
流动负债：,,,
短期借款,七、32,"360,237,800.00","112,678,000.00"
向中央银行借款,,,
拆入资金,,,
交易性金融负债,,,
衍生金融负债,,,
应付票据,七、35,"59,566,000.00","52,161,000.00"
应付账款,七、36,"492,661,054.82","385,154,120.70"
预收款项,七、37,,"224,788,223.45"
合同负债,七、38,"184,790,389.33",
卖出回购金融资产款,,,
吸收存款及同业存放,,,
代理买卖证券款,,,
代理承销证券款,,,
应付职工薪酬,七、39,"146,958,645.14","121,505,733.68"
应交税费,七、40,"79,648,266.38","74,676,567.25"
其他应付款,七、41,"209,426,369.89","206,448,936.57"
其中：应付利息,,,
应付股利,,"1,832,355.32","1,832,355.32"
应付手续费及佣金,,,
应付分保账款,,,
持有待售负债,,,
一年内到期的非流动负债,七、43,,"420,354,299.17"
其他流动负债,七、44,"24,067,413.48","2,528,055.86"
流动负债合计,,"1,557,355,939.04","1,600,294,936.68"
非流动负债：,,,
保险合同准备金,,,
长期借款,,,
应付债券,,,
其中：优先股,,,
永续债,,,
租赁负债,,,
长期应付款,,,
长期应付职工薪酬,,,
预计负债,,,
递延收益,七、51,"81,874,199.60","87,557,856.11"
递延所得税负债,七、30,"28,054,249.14","20,078,029.07"
其他非流动负债,,,
非流动负债合计,,"109,928,448.74","107,635,885.18"
负债合计,,"1,667,284,387.78","1,707,930,821.86"
所有者权益（或股东权益）：,,,
实收资本（或股本）,七、53,"796,637,194.00","796,637,194.00"
其他权益工具,,,
其中：优先股,,,
永续债,,,
资本公积,七、55,"91,465,632.06","91,465,632.06"
减：库存股,,,
其他综合收益,七、57,"16,446,204.23","16,416,384.48"
专项储备,,,
盈余公积,七、59,"372,824,822.31","295,989,224.41"
一般风险准备,,,
未分配利润,七、60,"3,338,501,527.99","2,748,463,862.97"
"归属于母公司所有者权益
（或股东权益）合计",,"4,615,875,380.59","3,948,972,297.92"
少数股东权益,,"375,763,791.90","296,823,817.46"
"所有者权益（或股东权
益）合计",,"4,991,639,172.49","4,245,796,115.38"
"负债和所有者权益（或
股东权益）总计",,"6,658,923,560.27","5,953,726,937.24"
项目,附注,2019年12月31日,2018年12月31日
流动资产：,,,
货币资金,,"698,822,699.65","397,125,470.66"
结算备付金,,,
拆出资金,,,
交易性金融资产,,"1,134,800,000.00",
"以公允价值计量且其变动
计入当期损益的金融资产",,,
衍生金融资产,,,
应收票据,,"632,545.00","1,050,440.00"
应收账款,,"25,653,890.31","47,427,503.38"
